,City_Name,Country_Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,taolanaro,mg,-49.44101039407094,59.31977090250936,42.69,91,92,25.32
1,castro,cl,-48.30541346328618,-82.25478487597663,50.79,90,92,24.09
2,ushuaia,ar,-81.89294079280212,-44.26619103243118,12.72,83,0,2.39
3,mataura,pf,-81.63230625693345,-162.8318997196078,15.33,94,76,7.87
4,castro,cl,-45.274342392306686,-98.58009647397382,54.12,90,92,21.52
5,veraval,in,16.297916106900928,66.65686061551605,78.74,100,0,11.01
6,aswan,eg,23.23800458636343,33.9301887875867,76.49,39,8,8.77
7,port hardy,ca,45.037873067400795,-136.10358573839102,55.61,88,92,40.87
8,motupe,pe,-6.147726209592278,-79.80379738995613,69.8,77,40,14.99
9,cape town,za,-65.26285664537147,-13.661758498820546,28.74,100,80,31.03
10,busselton,au,-89.70731742907608,75.48662373225972,-18.6,74,0,6.76
11,mataura,pf,-47.25999570047304,-152.12573411357377,51.42,95,92,21.3
12,mar del plata,ar,-59.949414224624974,-38.24477379267077,31.49,95,48,13.91
13,ushuaia,ar,-71.57651343558896,-36.837483361303214,26.81,100,24,7.76
14,mar del plata,ar,-45.332135782170006,-52.795422255291484,51.33,100,36,29.35
15,kapaa,us,22.72335082261226,-159.5890071604004,72.75,100,68,14.36
16,fortuna,us,38.29805860981989,-131.63921204340588,60.42,97,0,24.43
17,thompson,ca,60.62565841604382,-95.89022957725355,-15.18,67,80,8.32
18,formosa do rio preto,br,-10.935381809945113,-44.48569181504578,75.81,87,80,10
19,codrington,ag,20.11352574416891,-61.12105499198451,79.86,100,36,16.15
20,palu,id,0.10188800729683578,119.27423806222538,83.46,100,68,15.03
21,busselton,au,-41.23847223317368,95.48060423052408,56.91,96,36,23.76
22,mataura,pf,-82.6098010021012,-157.64642047228375,9.66,81,8,1.39
23,moerai,pf,-20.617140752314114,-150.04276927234156,81.75,96,88,12.91
24,atuona,pf,-10.190985187633999,-123.99401393670624,77.07,100,68,16.26
25,boralday,kz,44.68379767462534,75.8146866171054,7.01,68,32,3.74
26,otradinskiy,ru,53.186273422535265,36.36542595651113,39.14,96,92,13.69
27,hermanus,za,-62.222101023786934,3.0178434678081487,28.38,100,64,28.12
28,sorvag,fo,61.98561720279318,-7.824852810121456,37.4,86,64,25.28
29,toamasina,mg,-18.044326985286332,49.98296690407676,82.4,78,20,13.87
30,aklavik,ca,71.35926366721904,-139.2949108452276,-5.6,86,64,15.82
31,ushuaia,ar,-85.53040778361593,-26.571692799342173,-7.8,70,0,5.41
32,brae,gb,65.00476401000867,-1.808614461636978,42.78,100,80,20.96
33,rikitea,pf,-42.155041033163656,-113.25256132179614,54.39,100,12,16.6
34,corowa,au,-35.664458099960555,145.91211748752863,61.86,73,0,3.06
35,new norfolk,au,-66.99075770106259,129.3997129415916,-4.7,49,0,2.95
36,warqla,dz,31.485856063850463,6.349472692598198,68,37,0,2.24
37,rikitea,pf,-38.12520224710439,-120.9168413985736,57.86,100,68,7.09
38,east london,za,-74.43123175988806,54.81471197689174,-16.67,66,0,14.03
39,qaanaaq,gl,79.67117742811453,-76.7353330288903,2.46,67,80,0.94
40,amderma,ru,84.6556774546402,61.53329541252589,0.39,76,80,17.38
41,thompson,ca,64.79452000713772,-89.94100527054553,-24.27,71,0,12.24
42,busselton,au,-88.34891676062661,77.53117667332532,-23.87,70,0,5.19
43,mataura,pf,-82.63966624458101,-149.79689156515144,10.65,89,56,8.77
